Name,SMILES
A13525076,O=c1c2[nH]c(-c3ccc(S(=O)(=O)O)cc3)nc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A1019093,Cc1ccc(NC(=O)COc2ccc(C=C3C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C3=O)cc2)cc1
A1918367,COc1ccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc1CSc1ccccn1
A16397437,COc1c(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)c(CCN(C)C(=O)c2ccccc2)cc2c1OCO2
A468454,O=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(C(F)Cc2ccccc2)C(C(F)Cc2ccccc2)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A2191648,CCOC(=O)c1ccc(-c2ccc(C=C3C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C3=O)o2)cc1
A118735317,COc1cc(C=C2C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1O
A1717859,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccoc1
A702617,Cc1ccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)o1
A56459,O=C1C(c2ccccc2)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A1026647,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc(Br)c1OCC(=O)O
A5985318,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(-c2cc(C(=O)O)cc(C(=O)O)c2)o1
A59711198,CCCCCCn1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A13024101,O=c1n(CCO)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A1717871,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1c(Cl)cccc1Cl
A1776490,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cccc(Cl)c1Cl
A13525077,CN(C)CCCNS(=O)(=O)c1ccc(-c2nc3c([nH]2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n3C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)cc1
A708553,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cccs1
A1207513,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCc1ccc(Cl)cc1
A1774746,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(-c2cc(Cl)ccc2Cl)o1
A1776699,O=C(O)COc1cccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)c1
A6022629,CCOc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A6514186,COc1c(I)cc(I)cc1C=C1C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A11779563,O=c1c2[nH]c(C3CCCC3)nc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A1050631,CCOc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCc1ccc(Cl)cc1Cl
A1774743,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cc(Br)ccc1OCc1ccc(Cl)cc1Cl
A1775273,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cn(Cc2ccc(Cl)cc2Cl)c2ccccc12
A2199466,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(-c2cc([N+](=O)[O-])ccc2Cl)o1
A2262425,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A2262699,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccccc1OCc1ccc([N+](=O)[O-])cc1
A5445800,CCOc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCC(=O)O
A66697362,COC(=O)c1ccc(-c2ccc(C(C)C(O)(c3ccc4c(c3)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n4C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)F)c(Cl)c2)cc1F
A1321080,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(-c2ccc(Cl)c(C(=O)O)c2)o1
A2865310,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCc1ccc(Cl)cc1
A3315896,CCOc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCc1ccccc1C#N
A4419378,O=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2cccc3cccc(c23)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A4622924,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cn(Cc2ccc(Cl)cc2)c2ccccc12
A21547604,O=C(NC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A20253124,O=c1n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A572531,Nc1c(N=O)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A880049,Cn1cccc1C=C1C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A3237181,O=c1c(Cl)cn(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A11043672,O=c1n(CC2CO2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A327785,O=c1c2[nH]c(Cl)nc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A328990,O=C(COc1ccc(Cl)cc1Cl)OCCn1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A1550063,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1c2ccccc2cc2ccccc12
A2921037,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(-c2cc(Cl)ccc2Cl)o1
A3736080,Cn1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)c2ccccc21
A20253115,O=c1n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)n1CC1CO1
A3026947,O=C1CC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A1363181,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cccc(OCc2ccccc2Cl)c1
A755066,Cc1ccc2c(c1)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A1931033,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cc2c3c(c1)CCCN3CCC2
A121407431,O=C1C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A68767207,O=c1c2c(ncn2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A360574,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1c2ccccc2cc2ccccc12
A698957,O=c1c(F)cn(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A747595,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccco1
A748593,O=c1c(I)cn(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A757043,Cc1cc(C)c2c(c1)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A1252222,COc1ccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc1OCc1ccc(Cl)cc1
A1252225,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(-c2cc([N+](=O)[O-])ccc2Cl)o1
A1252520,CCOC(=O)c1ccc(-c2ccc(C=C3C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C3=O)o2)cc1
A1252740,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(OCc2ccccc2F)cc1
A1271529,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCc1ccccc1Cl
A1327801,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccccc1OCc1ccc(Cl)cc1
A1363084,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccccc1OCc1ccc([N+](=O)[O-])cc1
A2840101,COc1ccccc1C=C1C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A2854127,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCc1ccccc1[N+](=O)[O-]
A2865683,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A2875149,CN(C)c1ccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc1Br
A2875256,COc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc(OC)c1OC(C)=O
A2875513,CCOc1cc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)ccc1OCc1ccccc1F
A2891570,Cn1cccc1C=C1C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A2892054,CC(C)c1ccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc1
A3117894,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(OCc2ccc(Cl)cc2)cc1
A3545488,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1cn(Cc2ccccc2)c2ccccc12
A6401786,O=c1n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2cc3n[nH]nc3cc2n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A6620619,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(O)c(O)c1
A1253769,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccccc1OCc1ccc(F)cc1
A3095742,O=c1n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2ccc([N+](=O)[O-])cc2n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A3109487,O=c1n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A14870828,CCN(CC)CC(O)Cn1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A14870829,O=c1n(CC(O)CN2CCOCC2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A23769499,O=c1c2c3c(sc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)CCC3
A24075937,CC1(C)Cc2c(sc3c2c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n3C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)CO1
A885231,CSc1ncc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cn1
A1254683,CN(C)c1ccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc1Br
A1908735,COc1ccc(C=C2C(=O)NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C2=O)cc1COc1ccc(NC(C)=O)cc1
A2262142,O=C1NC(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C1=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1
A2558036,Cc1ccc(NC(=O)Cn2c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2=O)cc1
A2561350,CCc1ccc(NC(=O)Cn2c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2=O)cc1
A15322697,Cn1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A21822352,O=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)CCN1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A23471295,O=C1CN(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A66697325,O=C(O)c1ccc2c(c1)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A66697346,COCNC(=O)c1ccc2c(c1)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A66697350,COc1ccc(C(C)C(=O)c2ccc3c(c2)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n3C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(Cl)c1
A66697360,COC(=O)c1ccc2c(c1)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A66697386,CC(c1ccc(O)cc1Cl)C(O)(c1ccc2c(c1)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)F
A66697707,N#Cc1c(Cl)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A66697715,O=c1cc(Cl)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A86645878,CON(C)C(=O)c1ccc2c(c1)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A87084679,O=C(NO)c1c(Nc2ncccn2)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A87090058,N#Cn1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2c1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A87113681,O=Cc1c(Cl)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A87113833,Nc1c(C(=S)S)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A87113854,O=c1cc(S)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A129771303,C[Si](C)(C)n1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A3438945,O=c1n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c2ccccc2n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A6400335,O=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(C(F)Cc2ccccc2)C(C(F)Cc2ccccc2)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A9816152,O=C1SCC2C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A9950397,O=c1c2[nH]c(C34CC5CC(CC3C5)C4)nc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A12253322,O=c1n(-c2ccccc2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A12612568,CCOC(=O)Cn1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A13514745,O=c1n(CC(O)COc2ccccc2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A13666464,O=c1c2ccccc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A15354075,CN(C(=O)N(C)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A15620668,C=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A18008499,O=C1OCC2C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A18442657,CC(C)(C)OC(=O)CN(C(=O)N(CC1CC1)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
